time_utc,open,high,low,close,tick_volume,spread
2025-03-17 00:00:00+00:00,1.08771,1.08795,1.08706,1.08785,65,33
2025-03-17 00:15:00+00:00,1.08785,1.08819,1.08774,1.08797,68,21
2025-03-17 00:30:00+00:00,1.08797,1.08798,1.08789,1.08795,76,25
2025-03-17 00:45:00+00:00,1.08795,1.08807,1.08768,1.088,195,21
2025-03-17 01:00:00+00:00,1.088,1.08811,1.0876,1.08793,481,0
2025-03-17 01:15:00+00:00,1.08793,1.08822,1.08793,1.088,327,0
2025-03-17 01:30:00+00:00,1.088,1.08819,1.08748,1.08817,345,0
2025-03-17 01:45:00+00:00,1.08817,1.08854,1.08812,1.08815,336,0
2025-03-17 02:00:00+00:00,1.08815,1.08855,1.08812,1.08828,377,0
2025-03-17 02:15:00+00:00,1.08828,1.08849,1.08813,1.08832,246,0
2025-03-17 02:30:00+00:00,1.08832,1.08841,1.08806,1.08837,211,0
2025-03-17 02:45:00+00:00,1.08837,1.08838,1.08793,1.08796,242,0
2025-03-17 03:00:00+00:00,1.08796,1.08828,1.08781,1.08785,386,0
2025-03-17 03:15:00+00:00,1.08783,1.08797,1.08759,1.08795,339,0
2025-03-17 03:30:00+00:00,1.08795,1.08804,1.08758,1.08768,362,0
2025-03-17 03:45:00+00:00,1.08768,1.08829,1.08755,1.08795,452,0
2025-03-17 04:00:00+00:00,1.08795,1.08799,1.08742,1.08766,571,0
2025-03-17 04:15:00+00:00,1.08766,1.08822,1.08754,1.08807,521,0
2025-03-17 04:30:00+00:00,1.08807,1.0887,1.08786,1.08865,613,0
2025-03-17 04:45:00+00:00,1.08865,1.08903,1.08829,1.0883,696,0
2025-03-17 05:00:00+00:00,1.0883,1.08859,1.08795,1.08808,526,0
2025-03-17 05:15:00+00:00,1.08808,1.08844,1.08805,1.0883099999999999,400,0
2025-03-17 05:30:00+00:00,1.0883099999999999,1.0884,1.08803,1.08815,393,0
2025-03-17 05:45:00+00:00,1.08816,1.08843,1.08804,1.08813,375,0
2025-03-17 06:00:00+00:00,1.08813,1.08829,1.08796,1.08821,412,0
2025-03-17 06:15:00+00:00,1.08821,1.0884,1.0877,1.08796,298,0
2025-03-17 06:30:00+00:00,1.08796,1.08859,1.08794,1.08847,237,0
2025-03-17 06:45:00+00:00,1.08847,1.08863,1.08817,1.08836,231,0
2025-03-17 07:00:00+00:00,1.08836,1.0894,1.08786,1.08786,619,0
2025-03-17 07:15:00+00:00,1.08786,1.08842,1.08778,1.08824,428,0
2025-03-17 07:30:00+00:00,1.08824,1.0884800000000001,1.08819,1.08829,385,0
2025-03-17 07:45:00+00:00,1.08829,1.08844,1.08812,1.08822,282,0
2025-03-17 08:00:00+00:00,1.08822,1.08824,1.08772,1.08773,371,0
2025-03-17 08:15:00+00:00,1.08773,1.08797,1.08757,1.08778,408,0
2025-03-17 08:30:00+00:00,1.08778,1.08791,1.08738,1.08773,397,0
2025-03-17 08:45:00+00:00,1.08773,1.08791,1.08766,1.08775,337,0
2025-03-17 09:00:00+00:00,1.08775,1.08823,1.08754,1.08818,455,0
2025-03-17 09:15:00+00:00,1.08818,1.08839,1.0879,1.0881,428,0
2025-03-17 09:30:00+00:00,1.0881,1.08844,1.08798,1.08811,339,0
2025-03-17 09:45:00+00:00,1.08811,1.08814,1.08733,1.08779,443,0
2025-03-17 10:00:00+00:00,1.08779,1.08846,1.08776,1.08813,850,0
2025-03-17 10:15:00+00:00,1.08813,1.08828,1.08743,1.08761,729,0
2025-03-17 10:30:00+00:00,1.08762,1.08779,1.08686,1.08731,899,0
2025-03-17 10:45:00+00:00,1.08728,1.08791,1.08705,1.08763,827,0
2025-03-17 11:00:00+00:00,1.08763,1.08836,1.08707,1.0883099999999999,1106,0
2025-03-17 11:15:00+00:00,1.0883099999999999,1.08869,1.08789,1.08811,899,0
2025-03-17 11:30:00+00:00,1.08811,1.08853,1.08773,1.08826,1004,0
2025-03-17 11:45:00+00:00,1.08826,1.08865,1.08796,1.08838,939,0
2025-03-17 12:00:00+00:00,1.08838,1.08888,1.08773,1.08783,877,0
2025-03-17 12:15:00+00:00,1.08783,1.0886,1.08771,1.08853,874,0
2025-03-17 12:30:00+00:00,1.08852,1.08969,1.08838,1.08944,836,0
2025-03-17 12:45:00+00:00,1.08945,1.09005,1.08923,1.08999,871,0
2025-03-17 13:00:00+00:00,1.08999,1.09043,1.08965,1.09003,848,0
2025-03-17 13:15:00+00:00,1.09003,1.09089,1.08991,1.0907499999999999,594,0
2025-03-17 13:30:00+00:00,1.0907499999999999,1.091,1.09046,1.09069,574,0
2025-03-17 13:45:00+00:00,1.09069,1.09084,1.0904,1.09078,483,0
2025-03-17 14:00:00+00:00,1.09078,1.09119,1.09057,1.09064,688,0
2025-03-17 14:15:00+00:00,1.09064,1.09083,1.09027,1.09041,468,0
2025-03-17 14:30:00+00:00,1.09041,1.09072,1.09025,1.09037,469,0
2025-03-17 14:45:00+00:00,1.09037,1.09047,1.08962,1.09021,722,0
2025-03-17 15:00:00+00:00,1.09021,1.09066,1.08995,1.0904,693,0
2025-03-17 15:15:00+00:00,1.0904,1.0904,1.08963,1.08995,665,0
2025-03-17 15:30:00+00:00,1.08978,1.09074,1.08875,1.08885,2211,0
2025-03-17 15:45:00+00:00,1.08885,1.09023,1.08882,1.09018,1208,0
2025-03-17 16:00:00+00:00,1.09018,1.09053,1.08975,1.09016,1120,0
2025-03-17 16:15:00+00:00,1.09017,1.09042,1.08992,1.09008,829,0
2025-03-17 16:30:00+00:00,1.09009,1.09064,1.08972,1.09039,1212,0
2025-03-17 16:45:00+00:00,1.09039,1.09065,1.09,1.0905,1114,0
2025-03-17 17:00:00+00:00,1.0905,1.09113,1.09048,1.09089,1056,0
2025-03-17 17:15:00+00:00,1.09086,1.09121,1.09022,1.09107,900,0
2025-03-17 17:30:00+00:00,1.09107,1.09145,1.09078,1.0913,944,0
2025-03-17 17:45:00+00:00,1.09129,1.09185,1.09106,1.09161,919,0
2025-03-17 18:00:00+00:00,1.09161,1.09194,1.09157,1.09177,588,0
2025-03-17 18:15:00+00:00,1.09177,1.09297,1.09172,1.09277,777,0
